domain,phylum,reads,sample
Bacteria,Deferribacteres,128,22001612561191
Bacteria,Aquificae,112,22001612561191
Bacteria,Nitrospirae,87,22001612561191
Bacteria,Candidatus Saccharibacteria,55,22001612561191
Bacteria,Calditrichaeota,49,22001612561191
Bacteria,Elusimicrobia,39,22001612561191
Bacteria,Chrysiogenetes,29,22001612561191
Bacteria,Thermodesulfobacteria,24,22001612561191
Metazoa,Chordata,6825,22001612561191
Archaea,Euryarchaeota,1572,22001612561191
Archaea,Crenarchaeota,75,22001612561191
Archaea,Thaumarchaeota,202,22001612561191
Bacteria,Firmicutes,1002470,22001612561749
Bacteria,Actinobacteria,60435,22001612561749
Bacteria,Cyanobacteria,1303,22001612561749
Bacteria,Deinococcus-Thermus,679,22001612561749
Bacteria,Chloroflexi,509,22001612561749
Bacteria,Tenericutes,453,22001612561749
Bacteria,Armatimonadetes,67,22001612561749
Bacteria,Bacteroidetes,471229,22001612561749
Bacteria,Chlorobi,286,22001612561749
Bacteria,Ignavibacteriae,66,22001612561749
Bacteria,Balneolaeota,31,22001612561749
Bacteria,Fibrobacteres,92,22001612561749
Bacteria,Gemmatimonadetes,75,22001612561749
Bacteria,Candidatus Cloacimonetes,16,22001612561749
Bacteria,Proteobacteria,46801,22001612561749
Bacteria,Verrucomicrobia,1341,22001612561749
Bacteria,Planctomycetes,1298,22001612561749
Bacteria,Lentisphaerae,798,22001612561749
Bacteria,Chlamydiae,74,22001612561749
Bacteria,Kiritimatiellaeota,46,22001612561749
Bacteria,Spirochaetes,953,22001612561749
Bacteria,Fusobacteria,738,22001612561749
Bacteria,Acidobacteria,347,22001612561749
Bacteria,Synergistetes,333,22001612561749
Bacteria,Thermotogae,211,22001612561749
Bacteria,Nitrospirae,133,22001612561749
Bacteria,Aquificae,110,22001612561749
Bacteria,Candidatus Saccharibacteria,50,22001612561749
Bacteria,Candidatus Bipolaricaulota,20,22001612561749
Bacteria,Deferribacteres,59,22001612561749
Bacteria,Elusimicrobia,44,22001612561749
